Participant	Gender	First_Gen	Bio340_at_ASU	Ethnicity	RecitationPair_Time	Grade	Letter_Grade	Pre_1	Pre_2	Pre_3	Pre_4	Pre_5	Pre_6	Pre_7	Pre_8	Pre_9	Pre_10	Pre_11	Pre_12	Pre_13	Pre_14	Pre_15	Pre_16	Pre_17	Pre_18	Pre_19	Pre_20	Pre_21	Pre_22	Post_1	Post_2	Post_3	Post_4	Post_5	Post_6	Post_7	Post_8	Post_9	Post_10	Post_11	Post_12	Post_13	Post_14	Post_15	Post_16	Post_17	Post_18	Post_19	Post_20	Post_21	Post_22	Exam3_Q23	Exam3_Q24	Exam3_Q25	Final_Q25
1	M	N	Y	6	Pair1_430	0.819333333	B	0	1	1	1	0	0	1	0	1	1	1	1	1	1	0	1	0	0	0	1	1	0	0	0	1	0	1	1	0	1	0	1	0	1	0	0	1	0	0	1	1	1	0	0	1	1	0	NA
2	M	Y	Y	6	Pair2_600	0.908	A	0	1	1	1	1	0	1	0	1	0	0	0	0	1	1	0	1	0	1	0	1	1	0	0	1	1	0	0	1	0	1	0	1	0	0	0	1	0	1	0	1	0	1	1	1	1	0	NA
3	M	N	Y	6	Pair2_430	0.732	C	0	0	1	1	0	0	0	1	1	1	1	0	0	0	0	1	1	1	0	1	0	1	0	0	1	1	1	0	1	0	1	0	1	0	1	0	0	0	1	1	0	1	1	0	1	0	1	NA
4	F	Y	Y	1	Pair1_430	0.772168675	C	0	0	1	1	0	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	0	1	0	1	1	1	0	0	0	0	1	1	0	1	1	1	1	0	0	0	1	1	0	1	1	1	0	1
5	M	Y	Y	4	Pair1_300	0.745710843	C	0	0	1	1	0	1	0	0	0	1	1	1	1	1	1	1	0	0	1	1	1	1	0	0	1	1	1	1	0	0	1	0	1	1	1	0	1	1	1	1	0	1	0	0	1	0	1	0
6	F	N	Y	6	Pair2_430	0.83	B	0	1	1	0	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	0	1	0	0	1	1	1	0	0	1	1	1	0	1	0	1	1	1	0	0	1	0	1	0	1	1	1	0	NA
7	M	Y	Y	2	Pair2_300	0.859333333	B	0	1	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	0	1	1	0	0	1	0	0	1	1	1	0	1	1	0	0	NA
8	F	N	Y	6	Pair1_430	0.883827309	B	0	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	0	1	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	0	1
9	F	N	Y	6	Pair1_430	0.80724498	B	1	1	1	1	0	1	0	0	1	1	0	1	1	1	1	0	0	1	0	0	0	1	0	0	1	0	0	1	1	0	0	0	1	0	0	1	1	1	1	0	0	1	1	0	1	1	0	1
10	F	Y	Y	4	Pair1_430	0.719	C	1	1	1	1	1	0	0	0	1	1	1	0	1	1	1	1	0	1	1	1	1	0	0	1	1	1	0	0	1	0	1	1	1	0	1	0	0	0	0	1	1	0	0	0	1	0	0	NA
11	F	Y	Y	6	Pair1_300	0.872216867	B	1	1	0	1	0	0	1	0	1	0	1	0	1	0	1	1	0	1	1	1	1	0	0	1	0	0	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	1	0	0	1	0	1	0
12	F	N	Y	3_6	Pair2_600	0.849578313	B	1	0	1	1	0	0	1	0	0	1	0	0	0	1	1	0	0	1	1	1	1	1	0	0	1	1	0	0	1	0	1	1	1	0	1	1	1	1	0	1	0	0	1	0	1	0	1	1
13	F	N	Y	6	Pair2_600	0.79653012	B	1	0	1	0	0	0	1	0	1	1	1	0	0	0	1	0	0	1	1	1	1	0	0	0	1	1	0	0	1	1	1	0	1	0	1	1	1	0	1	0	1	1	0	0	1	1	0	1
14	F	Y	Y	3_4	Pair2_730	0.791666667	C	1	1	0	0	0	0	1	0	1	0	0	0	1	1	1	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	1	1	1	0	1	0	1	1	0	1	0	1	1	0	1	1	0	1
15	F	Y	Y	6	Pair1_300	0.792987952	C	1	1	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	1	0	0	1	1	1	1	0	1	0	1	0	0	0	1	1	1	1	0	1	0	1	0	0	1	0	1	1
16	F	N	Y	2	Pair2_300	0.728919679	C	1	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	1	0	0	1	0	1	1	1	0	1	1	1	1	0	1	0	0	1	0	1	1	0	1
17	F	Y	Y	2	Pair2_300	0.908	A	1	0	0	0	1	0	1	1	0	0	1	1	0	0	1	0	1	1	1	1	0	0	0	1	0	1	1	0	1	1	0	1	1	1	1	0	1	0	1	1	0	1	0	0	1	0	0	NA
18	F	N	Y	6	Pair2_600	0.903751004	A	1	1	1	1	0	0	1	0	1	1	1	0	1	0	1	0	1	1	0	1	1	1	0	1	1	1	0	0	1	0	1	1	0	1	1	1	1	0	1	1	0	1	0	1	1	1	0	1
19	F	N	Y	6	Pair1_430	0.876626506	B	1	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	1	1	1	0	1	1	1	1	0	1	0	1	1	0	1	1	1	1	0	0	0	1	1	1	0	1	0	1	1
20	F	Y	Y	2	Pair2_430	0.807333333	B	1	0	1	1	1	0	1	0	0	1	1	0	0	0	1	1	0	1	1	0	0	1	0	0	1	1	1	0	1	1	0	1	1	1	0	0	1	1	1	1	1	0	1	0	1	1	0	NA
21	F	N	Y	4	Pair2_430	0.837654618	B	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	1	1	1	0	1	1	0	1	1	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1
22	F	N	Y	6	Pair2_430	0.828666667	B	1	0	0	0	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	NA	NA	NA	NA
23	F	Y	Y	2	Pair1_300	0.711333333	C	1	1	0	1	1	0	0	1	0	0	0	1	0	0	1	0	1	1	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	NA
24	M	Y	Y	3	Pair2_430	0.696666667	C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	1	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0	1	0	0	NA
25	M	Y	Y	6	Pair1_730	0.786558233	C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	1	0	1	1	0	1	1	0	1	1	1	0	1	1	1	1	1	1	0	1	0	1	0
26	M	N	Y	4_6	Pair2_300	0.832064257	B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	1	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1
27	M	N	Y	6	Pair1_300	0.773710843	C	0	0	1	1	0	0	1	0	1	1	0	1	1	1	1	0	1	0	1	0	1	0	1	0	1	1	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	1	1	0	0
28	F	N	Y	6	Pair2_430	0.894855422	B	0	0	1	1	0	0	1	0	0	1	1	0	1	0	1	1	0	1	1	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	1	1	1	0	0	1	0	0	1	0	0	0	0	1
29	M	N	Y	2	Pair1_300	0.828550201	B	0	1	1	1	1	1	1	0	1	0	1	0	1	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	1	1	1	0	1	1	0	1	0	0	1	0	0	1	0	0	1	0	1	1
30	M	Y	Y	4_6	Pair2_600	0.815333333	B	0	0	0	1	0	0	1	0	0	0	1	1	0	0	1	1	0	1	1	0	1	1	1	1	1	1	0	0	0	0	0	1	1	0	1	0	1	0	1	1	0	1	0	0	1	1	0	NA
31	F	Y	Y	2_3	Pair2_430	0.850666667	B	0	0	1	1	1	0	1	0	1	0	0	1	1	0	0	1	0	1	1	1	0	0	1	0	1	1	1	0	0	1	1	0	1	0	1	0	1	0	0	1	0	0	1	1	1	1	0	1
32	F	Y	Y	4	Pair2_730	0.762666667	C	0	1	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	0	1	1	0	1	0	1	1	1	1	0	0	1	1	1	0	1	0	0	0	0	1	0	0	1	1	1	1	0	NA
33	M	Y	Y	4	Pair2_730	0.748666667	C	0	0	1	1	0	1	0	0	1	1	1	0	0	0	1	1	0	0	0	1	0	0	1	1	1	1	0	0	1	1	0	1	1	0	0	0	1	1	1	0	0	1	0	0	NA	NA	NA	NA
34	M	N	Y	6	Pair2_300	0.747333333	C	0	0	1	1	0	0	1	0	0	1	1	0	1	0	0	0	0	1	1	1	1	0	1	0	0	0	1	0	1	0	1	1	1	1	1	0	0	0	1	1	0	1	0	1	1	1	0	NA
35	F	Y	Y	4	Pair2_430	0.786835341	C	0	1	1	1	0	0	0	0	0	1	0	0	1	1	1	1	0	1	1	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	0	1	1	0	1	0	1	0	0	1	1	0	0
36	F	N	Y	6	Pair1_730	0.726710843	C	0	0	1	1	0	0	1	0	1	0	0	0	1	0	1	0	1	1	0	1	0	0	1	0	1	1	1	1	0	0	1	0	1	0	1	0	1	0	1	0	1	1	0	1	1	0	1	1
37	M	Y	Y	4	Pair1_730	0.867333333	B	0	0	1	0	0	1	1	1	1	0	1	1	0	0	1	1	0	1	1	1	1	1	1	0	1	0	0	1	0	1	1	1	1	0	1	1	0	1	0	1	0	0	1	1	0	1	0	1
38	F	N	Y	6	Pair1_300	0.839333333	B	0	1	1	0	1	0	1	0	1	1	1	0	0	1	0	1	0	1	1	0	1	1	1	1	1	1	0	0	0	1	0	1	1	1	0	1	0	0	0	1	1	1	1	0	1	1	0	NA
39	M	N	Y	6	Pair1_430	0.857666667	B	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	1	1	0	0	1	0	0	1	0	0	1	1	0	1	0	1	1	1	1	0	1	1	0	0	1	1	0	1	0	1	0	0	NA
40	F	N	Y	6	Pair2_430	0.734666667	C	0	0	0	1	1	0	0	1	1	1	0	0	0	0	1	1	0	1	0	1	1	0	1	1	1	1	1	0	1	0	1	1	1	0	0	0	1	1	1	1	0	1	1	0	NA	NA	NA	NA
41	M	Y	Y	2	Pair2_600	0.836	B	0	1	0	0	0	1	1	1	1	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1	0	0	1	0	0	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	0	NA
42	F	Y	Y	1_6	Pair2_730	0.909008032	A	0	0	1	1	1	1	1	1	0	1	1	0	1	0	1	0	1	1	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1	0	1	0	1	1	0	0	1
43	F	N	Y	6	Pair2_300	0.880333333	B	0	1	1	0	1	1	1	1	0	1	1	0	0	0	0	0	1	1	1	0	1	1	1	1	0	0	1	1	1	0	1	1	1	0	1	0	1	1	1	1	0	1	1	1	1	0	0	NA
44	F	N	Y	6	Pair2_600	0.727666667	C	0	1	1	0	0	0	1	1	1	0	1	0	0	0	1	1	0	1	0	0	0	1	1	0	1	1	1	1	1	0	1	0	1	0	1	0	1	1	1	1	1	1	1	1	NA	NA	NA	NA
45	F	Y	Y	4	Pair2_430	0.899333333	A	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	1	1	1	1	0	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1
46	M	Y	Y	4	Pair1_300	0.935333333	A	0	0	1	0	0	0	1	1	1	1	0	0	0	0	0	1	1	1	1	0	1	0	1	1	1	1	1	0	1	1	1	1	0	0	1	1	1	0	1	1	1	1	1	1	1	1	0	NA
47	M	N	Y	6	Pair2_730	0.954666667	A	0	1	1	1	1	0	1	0	1	1	1	0	0	0	1	1	0	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	NA
48	M	N	Y	6	Pair1_300	0.940333333	A	0	0	1	0	0	0	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	NA
49	M	Y	Y	2_6	Pair1_730	0.860333333	B	1	0	0	0	0	1	0	0	1	1	0	1	1	1	1	0	1	0	0	1	1	0	1	0	1	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	NA
50	M	Y	Y	6	Pair2_600	0.845341365	B	1	0	1	1	0	1	1	0	1	1	1	0	1	1	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	1	1	0	1	0	0	0	1	1	0	1	1
51	F	N	Y	2	Pair1_600	0.9	A	1	0	1	0	1	1	1	1	0	1	1	0	0	1	0	0	1	0	0	0	1	0	1	0	0	1	0	0	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	1	1	0	NA
52	F	N	Y	6	Pair1_430	0.924875502	A	1	0	0	0	1	0	1	1	0	0	1	1	0	0	1	0	1	1	1	1	0	0	1	1	0	1	0	0	1	1	1	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	1	1
53	F	N	Y	2	Pair1_430	0.895036145	A	1	0	0	1	1	1	0	0	1	1	1	0	0	0	0	0	1	1	1	0	1	0	1	0	0	1	1	1	0	1	0	0	0	1	1	0	0	1	0	0	1	1	0	0	1	1	0	1
54	F	N	Y	6	Pair2_300	0.790550201	C	1	1	0	0	1	0	1	0	0	1	1	0	1	1	1	0	0	0	0	0	0	0	1	1	1	0	1	0	1	0	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1
55	F	Y	Y	5	Pair2_300	0.803	B	1	0	0	1	1	0	1	1	0	1	0	0	0	0	0	0	1	1	1	1	0	0	1	0	0	1	0	0	0	1	1	1	0	0	0	0	1	1	0	1	0	1	0	1	1	0	0	NA
56	F	N	Y	6	Pair2_730	0.752333333	C	1	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	1	1	0	1	1	1	0	1	0	1	0	1	1	1	0	1	0	1	0	0	0	0	1	1	0	0	0	1	0	0	NA
57	M	Y	Y	2_5_6	Pair1_430	0.811333333	B	1	0	0	0	0	0	1	1	1	1	1	0	1	1	1	0	0	1	0	0	0	1	1	0	0	0	1	0	1	0	0	1	1	1	1	0	1	0	1	0	0	0	1	0	1	1	1	NA
58	M	Y	Y	6	Pair2_430	0.798036145	B	1	0	0	0	0	1	1	1	1	0	0	1	1	1	1	0	0	0	1	1	1	0	1	1	1	0	0	0	1	0	1	0	1	1	1	0	0	0	0	1	0	1	1	0	1	0	0	0
59	F	Y	Y	6	Pair1_730	0.802341365	B	1	1	1	0	1	0	0	0	1	1	1	1	1	1	1	0	1	1	1	0	0	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	1	0	1	0	0	1	1	0	1	1	0	1
60	M	N	Y	4_6	Pair2_430	0.729807229	C	1	0	1	1	1	1	0	1	0	0	0	0	0	0	1	1	0	1	0	1	1	0	1	0	1	1	1	1	0	0	0	0	0	1	1	0	1	1	0	1	0	0	1	0	1	1	0	1
61	F	N	N	6	Pair2_430	0.770666667	C	1	1	1	1	0	0	1	0	1	1	0	1	1	0	1	0	0	1	1	0	1	0	1	0	1	1	0	0	1	0	0	1	1	0	1	0	1	0	1	0	0	1	1	0	1	1	0	NA
62	M	N	Y	5_6	Pair2_600	0.821216867	B	1	1	1	0	1	0	1	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0	0	1	1	1	1	1	1	1	0	0
63	F	Y	Y	4_6	Pair2_430	0.786654618	C	1	1	0	0	0	0	1	0	1	0	1	1	0	0	1	1	0	1	1	0	1	0	1	0	1	1	0	0	1	0	1	1	0	0	1	0	1	0	1	1	1	0	1	0	1	0	0	1
64	F	N	Y	6	Pair1_600	0.962	A	1	1	1	1	0	0	1	0	1	1	1	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	0	1	0	0	0	0	1	0	1	1	0	1	0	1	NA
65	F	N	Y	4	Pair1_430	0.815666667	B	1	1	0	0	0	1	1	1	0	0	1	0	0	1	0	1	0	1	0	0	1	1	1	0	1	1	0	0	0	0	1	0	0	0	1	1	1	1	0	1	1	1	0	1	1	0	1	NA
66	F	N	Y	2	Pair1_430	0.905	A	1	1	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	1	1	0	1	0	1	1	1	0	0	0	1	0	1	1	0	1	0	0	1	1	0	1	0	1	1	0	1	0	1	NA
67	F	N	Y	6	Pair1_430	0.738481928	C	1	1	0	0	0	0	1	0	1	0	0	1	1	1	1	0	0	1	0	0	1	0	1	1	0	1	0	0	1	1	0	1	1	0	1	0	1	0	0	1	1	0	1	1	1	1	0	0
68	M	N	Y	6	Pair1_430	0.729044177	C	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	1	1	1	0	0	1	0	1	0	1	0	1	0	1	1	0	1	1	1	1	1	0	1	0	1	0	0	1	1	0	0
69	F	N	Y	6	Pair2_300	0.891931727	B	1	1	1	0	1	0	1	1	1	1	0	1	1	1	1	1	0	0	1	0	1	1	1	0	1	0	1	0	1	1	1	1	0	0	0	1	1	1	0	0	1	0	1	1	1	0	1	1
